""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"13641"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13642"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Diplorickettsiales"	"Diplorickettsiaceae"	NA	NA
"13643"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13644"	"Bacteria"	"Actinobacteriota"	NA	NA	NA	NA	NA
"13645"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"13646"	NA	NA	NA	NA	NA	NA	NA
"13647"	NA	NA	NA	NA	NA	NA	NA
"13648"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13649"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"13650"	"Bacteria"	"Nitrospirota"	"Thermodesulfovibrionia"	NA	NA	NA	NA
"13651"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia UCG-014"	NA	NA	NA
"13652"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"13653"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13654"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13655"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	NA	NA
"13656"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13657"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13658"	"Bacteria"	"SAR324 clade(Marine group B)"	NA	NA	NA	NA	NA
"13659"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"P6-b51"	NA	NA
"13660"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"13661"	NA	NA	NA	NA	NA	NA	NA
"13662"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"13663"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"13664"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13665"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Pacebacteria"	NA	NA	NA
"13666"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13667"	NA	NA	NA	NA	NA	NA	NA
"13668"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13669"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	NA	NA	NA
"13670"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13671"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13672"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13673"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13674"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"13675"	NA	NA	NA	NA	NA	NA	NA
"13676"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13677"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13678"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13679"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13680"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13681"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13682"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13683"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13684"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Methylacidiphilales"	"Methylacidiphilaceae"	NA	NA
"13685"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13686"	"Bacteria"	"Patescibacteria"	"WWE3"	NA	NA	NA	NA
"13687"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13688"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13689"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13690"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13691"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Aliivibrio"	NA
"13692"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13693"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13694"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13695"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13696"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13697"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Vadicella"	NA
"13698"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13699"	NA	NA	NA	NA	NA	NA	NA
"13700"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13701"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13702"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13703"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13704"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13705"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13706"	"Bacteria"	"Acidobacteriota"	"Subgroup 22"	NA	NA	NA	NA
"13707"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13708"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"	NA
"13709"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Woesebacteria"	NA	NA	NA
"13710"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caedibacterales"	"Caedibacteraceae"	NA	NA
"13711"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13712"	NA	NA	NA	NA	NA	NA	NA
"13713"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13714"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13715"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	NA	NA	NA
"13716"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13717"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Candidatus Aquirestis"	NA
"13718"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	NA	NA	NA
"13719"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13720"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13721"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13722"	"Bacteria"	"Patescibacteria"	"Parcubacteria"	"Candidatus Moranbacteria"	NA	NA	NA
"13723"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	NA
